[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
,,[mm],[mm],[mm],[deg],[deg],[mm],[mm]
74,AxialGradioMeter,-32.63,111.95,-6.78,84.93,103.70,15.50,50.00
75,AxialGradioMeter,-4.58,14.42,129.03,9.46,109.61,15.50,50.00
76,AxialGradioMeter,22.25,12.92,126.58,13.79,38.40,15.50,50.00
77,AxialGradioMeter,-59.39,104.32,-32.45,86.18,113.84,15.50,50.00
78,AxialGradioMeter,-10.68,118.61,-32.68,84.00,92.74,15.50,50.00
79,AxialGradioMeter,86.32,85.99,-12.97,90.26,53.11,15.50,50.00
80,AxialGradioMeter,-51.16,-82.84,75.55,58.38,244.18,15.50,50.00
81,AxialGradioMeter,-30.25,-91.69,73.97,59.20,254.94,15.50,50.00
82,AxialGradioMeter,44.82,-116.29,-39.63,89.24,287.27,15.50,50.00
83,AxialGradioMeter,83.87,-89.84,-45.75,95.60,304.40,15.50,50.00
84,AxialGradioMeter,-44.74,-47.34,108.14,36.73,236.48,15.50,50.00
85,AxialGradioMeter,90.06,-87.46,6.54,87.62,307.14,15.50,50.00
86,AxialGradioMeter,18.89,-118.94,8.24,87.57,273.98,15.50,50.00
87,AxialGradioMeter,71.70,-101.74,8.68,85.31,299.29,15.50,50.00
88,AxialGradioMeter,42.34,112.03,-33.25,84.90,69.77,15.50,50.00
89,AxialGradioMeter,81.83,87.61,-47.23,99.31,52.77,15.50,50.00
90,AxialGradioMeter,-46.52,57.61,97.58,42.72,123.52,15.50,50.00
91,AxialGradioMeter,-75.86,89.80,20.45,79.34,123.78,15.50,50.00
92,AxialGradioMeter,86.58,12.69,95.50,41.91,7.62,15.50,50.00
93,AxialGradioMeter,15.59,37.22,120.41,24.35,73.98,15.50,50.00
94,AxialGradioMeter,18.94,114.89,-7.85,85.59,83.06,15.50,50.00
95,AxialGradioMeter,43.39,108.92,-8.77,85.97,71.95,15.50,50.00
96,AxialGradioMeter,-44.36,-69.26,92.04,48.37,245.30,15.50,50.00
97,AxialGradioMeter,-69.89,-70.77,78.89,57.10,235.26,15.50,50.00
98,AxialGradioMeter,38.79,-114.00,30.83,78.59,283.32,15.50,50.00
99,AxialGradioMeter,80.94,-88.50,30.99,77.23,303.96,15.50,50.00
100,AxialGradioMeter,47.50,-115.73,9.57,85.42,288.16,15.50,50.00
101,AxialGradioMeter,53.45,-70.76,88.91,50.51,296.01,15.50,50.00
102,AxialGradioMeter,-65.76,-86.29,57.44,66.36,241.17,15.50,50.00
103,AxialGradioMeter,-46.57,-98.68,57.14,67.25,249.67,15.50,50.00
104,AxialGradioMeter,3.81,99.87,58.93,64.91,89.93,15.50,50.00
105,AxialGradioMeter,-21.50,98.82,61.04,64.57,98.81,15.50,50.00
